Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ডা. জাকির নায়েকের ভ্রান্তমতবাদ-১ম খণ্ড,আল্লামা সাইয়্যিদ খালীক সাজিদ বুখারী,TK. 140,TK. 98,https://rokomari.com//book/116131/dr--zakir-naiker-vrantomotobad-1st-khondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0f3b279b5634_116131.gif,"",ডা. জাকির নায়েকের ভ্রান্তমতবাদ-১ম খণ্ড,আল্লামা সাইয়্যিদ খালীক সাজিদ বুখারী, , ,আশরাফিয়া বুক হাউস, ,"1st Published,2016",126,বাংলাদেশ,বাংলা
কবীরা গুনাহ,ইমাম আয-যাহাবী রহ.,TK. 250,TK. 150,https://rokomari.com//book/116130/kobira-gunah,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/df4f4f557cd4_116130.gif,"",কবীরা গুনাহ,ইমাম আয-যাহাবী রহ.,মাওলানা আবদুল কাইয়ূম,মোহাম্মদ শামসুজ্জামান,আশরাফিয়া বুক হাউস, ,"1st Published,2012",240,বাংলাদেশ,বাংলা
নবীজীর পবিত্র জিহাদ বনাম সন্ত্রাস ও জঙ্গীবাদ,সাইয়েদ আবুল হাসান আলী নদভী রহ.,TK. 180,TK. 126,https://rokomari.com//book/135025/nabijir-pobidro-jihad-bonam-sontras-o-jongibad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a527ae75e_135025.jpg,"",নবীজীর পবিত্র জিহাদ বনাম সন্ত্রাস ও জঙ্গীবাদ,"সাইয়েদ আবুল হাসান আলী নদভী রহ.,আল্লামা ইদরীস কান্ধলভী রহ.,মুফতী মুহাম্মদ শফী দেওবন্দী রহ.", ,মুফতী বিলাল হুসাইন খান,আশরাফিয়া বুক হাউস, ,"1st Published,2017",143,বাংলাদেশ,বাংলা
আহলে হাদীস বনাম গাইরে মুকাল্লিদ,আল্লামা সারফারাজ খাঁন সফদর (র.),TK. 240,TK. 144,https://rokomari.com//book/116132/ahalehadith-bonam-gaire-mukallid,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3a7ed9b47_116132.jpg,"",আহলে হাদীস বনাম গাইরে মুকাল্লিদ,আল্লামা সারফারাজ খাঁন সফদর (র.), , ,আশরাফিয়া বুক হাউস, ,"1st Published,2016",208,বাংলাদেশ,বাংলা
প্রিয় বোন তুমিও ভাবো-১,ইলিয়াস হাসান ,TK. 150,TK. 90,https://rokomari.com//book/90198/preyo-bone-tumio-vabo-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4a5cfe4b1_90198.jpg,"",প্রিয় বোন তুমিও ভাবো-১,ইলিয়াস হাসান, , ,আশরাফিয়া বুক হাউস, ,"8th Printed,2019",128,বাংলাদেশ,বাংলা
"তিলাওয়াত, যিকির, দোয়া ও অজিফা",হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.,TK. 280,TK. 168,https://rokomari.com//book/46235/tilwayat--jekir--dowa-o-ojifa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d903a0108_46235.jpg,"","তিলাওয়াত,যিকির,দোয়া ও অজিফা",হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ., , ,আশরাফিয়া বুক হাউস, ,"1st Published,2020", ,বাংলাদেশ,বাংলা
মিনহাজুল আবেদীন,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.,TK. 260,TK. 156,https://rokomari.com//book/135024/minhajul-abedin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a32831d39724_135024.jpg,"",মিনহাজুল আবেদীন,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ., ,মুফতী মীযানুর রহমান কাসেমী,আশরাফিয়া বুক হাউস, ,"1st Published,2017",256,বাংলাদেশ,বাংলা
জান্নাতী আমল,মাওলানা আলমগীর হুসাইন যশোরী,TK. 160,TK. 112,https://rokomari.com//book/116133/jannati-amal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/426e54fa3494_116133.gif,"",জান্নাতী আমল,মাওলানা আলমগীর হুসাইন যশোরী, , ,আশরাফিয়া বুক হাউস, ,"1st Published,2016",127,বাংলাদেশ,বাংলা
আর রূহ,আল্লামা হাফিয ইবনুল কায়্যিম আল জাওযী,TK. 600,TK. 360,https://rokomari.com//book/182926/ar-ruho--rohosho--bishleshon--kobor-jogoter-bishod-biboron-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c84db72d0_182926.jpg,"",আর রূহ,আল্লামা হাফিয ইবনুল কায়্যিম আল জাওযী,মুফতী সাখাওয়াত হোসাইন, ,আশরাফিয়া বুক হাউস,9789846101102,"1st Published,2019",576,বাংলাদেশ,বাংলা
প্রিয় বোন তুমিও ভাবো-৩,ইলিয়াস হাসান ,TK. 150,TK. 90,https://rokomari.com//book/106128/priyo-bon-tumio-vabo-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4f8ba872a_106128.jpg,"",প্রিয় বোন তুমিও ভাবো-৩,ইলিয়াস হাসান, , ,আশরাফিয়া বুক হাউস, ,"1st Published,2014",128,বাংলাদেশ,বাংলা
